index,uuid,title,description,snippet,url,source,language,published_at,categories,E_codings,S_codings,Z_codings
389,4bcb3cf8-72d1-4d95-b8cc-0fb006bff760,Rain kills 15 in southwest China as Xi urges better defenses,"Torrential rain killed 15 people in southwest China, as President Xi Jinping called for greater efforts to protect the public from extreme weather.","BEIJING — Torrential rain has killed 15 people in the southwestern Chinese city of Chongqing, media reported on Wednesday, as President Xi Jinping called for ...",https://www.nbcnews.com/news/world/rain-kills-15-southwest-china-xi-rcna92593,nbcnews.com,en,2023-07-05T08:09:55.000000Z,"general,politics",,,
390,e50d9099-3c51-4e42-958e-16a148f23248,Australian PM takes ‘goodwill’ into meeting with China’s Xi,"CANBERRA, Australia (AP) — Australian Prime Minister Anthony Albanese said on Monday he will soon meet Chinese President Xi Jinping for the first face...","CANBERRA, Australia (AP) — Australian Prime Minister Anthony Albanese said on Monday he will soon meet Chinese President Xi Jinping for the first face-to-face...",https://www.thestar.com/news/world/australia/2022/11/14/australian-pm-takes-goodwill-into-meeting-with-chinas-xi.html,thestar.com,en,2022-11-14T08:56:37.000000Z,general,,,
391,b84a2158-adc2-4beb-b5ca-578ea4384fc5,Xi tells Putin the world is in chaos but friendship with Russia will endure,Chinese President Xi Jinping told Russia’s Vladimir Putin that the world was gripped by chaos but that their strategic partnership was a force for stability.,"KAZAN, Russia — Chinese President Xi Jinping told Russia’s Vladimir Putin that the international situation was gripped by chaos but that Beijing’s strateg...",https://www.nbcnews.com/news/world/xi-tells-putin-world-chaos-friendship-russia-will-endure-rcna176721,nbcnews.com,en,2024-10-23T04:08:13.000000Z,"general,politics",,,
392,e786328e-9e78-4ac6-acd4-6cead698cc3d,Xi makes cryptic comment to Putin as Ukraine gets hit with missiles,"“Now there are changes that haven’t happened in 100 years. When we are together, we drive these changes,” Xi said.","Chinese President Xi Jinping departed Russia Wednesday, leaving President Vladimir Putin with a puzzling parting message about the power of their relationship.
...",https://nypost.com/2023/03/22/xi-makes-cryptic-comment-to-putin-as-ukraine-gets-hit-with-missiles/,nypost.com,en,2023-03-22T16:21:09.000000Z,general,,,
393,4ea6e500-3d40-435a-b385-260b6ea6752a,China's Xi welcomes President Alexander Lukashenko of Belarus to Beijing,BEIJING (AP) — Chinese leader Xi Jinping spoke of a “strengthened political mutual trust and international coordination” with Belarus after he met with th...,China has sought to make Belarus a core member of its “Belt and Road Initiative” to build infrastructure with nations from Malaysia to Greece. Belarusian Pr...,https://nationalpost.com/pmn/news-pmn/chinas-xi-welcomes-president-alexander-lukashenko-of-belarus-to-beijing,nationalpost.com,en,2023-12-04T13:44:52.000000Z,general,,,
394,b2745d68-0551-46d1-9840-e76bf302f658,China to use Shanghai exchange for yuan energy deals with Gulf nations - Xi,China's President Xi Jinping said in Riyadh on Friday that China and Gulf nations should make full use of the Shanghai Petroleum and National Gas Exchange as a ...,"













BEIJING, Dec 9 (Reuters) - China's President Xi Jinping said in Riyadh on Friday that China and Gulf nations should make full use of the Shanghai ...",https://www.reuters.com/business/energy/chinas-xi-tells-gulf-nations-use-shanghai-exchange-yuan-energy-deals-2022-12-09/,news.google.com,en,2022-12-09T14:17:00.000000Z,general,,,
395,0f6b8240-467f-4d96-be7d-521f7671ba39,Australia PM welcomes dialog with China's Xi in first meeting since 2016,"Australian Prime Minister Anthony Albanese said he discussed trade, consular and human rights issues in a meeting with China President Xi Jinping at the G20…","Australia PM welcomes dialog with China's Xi in first meeting since 2016

“This was another important step towards the stabilization of the Australia-China re...",https://nationalpost.com/pmn/health-pmn/australia-pm-welcomes-dialog-with-chinas-xi-in-first-meeting-since-2016-2,nationalpost.com,en,2022-11-15T09:48:57.000000Z,general,,,
396,98a308a8-e9f4-4d43-aa2b-6cd9051ce0d1,‘Abandon cold war mentality...’: Xi urges Putin to negotiate with Ukraine to resolve crisis,"In a telephone call between the two leaders on Friday, day 2 of Russia's invasion of Ukraine, the Chinese President also urged his Russian counterpart to respec...","On the second day of Russia's ongoing invasion in Ukraine, ordered by Vladimir Putin a day ago, the Russian President's Chinese counterpart, Xi Jinping, in a te...",https://www.hindustantimes.com/world-news/on-ukraine-crisis-xi-urges-putin-to-resolve-issue-through-negotiations-101645791703287.html,news.google.com,en,2022-02-25T12:44:19.000000Z,general,,,
397,043141fe-55d2-4f57-9982-9d662f68665b,China's Xi hosts world leader banquet after two years of isolation,"Chinese President Xi Jinping hosted a banquet for heads of state and international organizations attending the Winter Olympics, part of a diplomatic blitz follo...","Share this article Whatsapp

Facebook

Twitter

Linkedin Agence France-Presse (The Jakarta Post) Beijing ● Mon, February 7 2022

Chinese President Xi Jinping ...",https://www.thejakartapost.com/paper/2022/02/06/chinas-xi-hosts-world-leader-banquet-after-two-years-of-isolation.html,news.google.com,en,2022-02-06T18:05:39.000000Z,general,,,
398,3dd1ce18-9574-4522-a14b-8e842bcfe4a2,"Following Xi order, China axes 15 coal plants abroad: Study",China is the worlds biggest emitter of the greenhouse gases driving global warming. It has vowed to peak carbon emissions by 2030 and become carbon-neutral by 2...,"Share this article Whatsapp

Facebook

Twitter

Linkedin AFP Beijing, China ● Fri, April 22, 2022 13:15 0 ccf71aecb5cdd3c027711867aaded136 2 Asia and Pacific ...",https://www.thejakartapost.com/world/2022/04/22/following-xi-order-china-axes-15-coal-plants-abroad-study-.html,news.google.com,en,2022-04-22T06:19:56.000000Z,general,,,
399,8d527b9e-b803-4f94-bc35-81b5f21bcbeb,Putin and Xi cement partnership in face of Western pressure,"MOSCOW — Russia and China should stand firm in rejecting Western interference and defending each other’s security interests, presidents Vladimir Putin and X...","This advertisement has not loaded yet, but your article continues below.







Share this Story: Putin and Xi cement partnership in face of Western pressure

P...",https://nationalpost.com/pmn/news-pmn/putin-and-xi-cement-partnership-in-face-of-western-pressure,nationalpost.com,en,2021-12-15T12:59:10.000000Z,general,,,
400,e544dbfc-9864-40d6-8c8c-519e5b48e5c9,China's Xi confronts Canada's Trudeau at G20 summit over leaks to media,BEIJING — Chinese President Xi Jinping on Wednesday criticized Canadian Prime Minister Justin Trudeau in person over alleged leaks of their closed-door meetin...,"This advertisement has not loaded yet, but your article continues below.

John Robson: The retired general who spoke truth about Canadian wokeness

Chinese pres...",https://nationalpost.com/pmn/news-pmn/chinas-xi-confronts-canadas-trudeau-at-g20-summit-over-leaks-to-media,nationalpost.com,en,2022-11-16T14:44:54.000000Z,general,,,
401,0c4e986f-44f3-4a33-8b48-ec33ebc19364,Trump vs. Xi: The sequel nobody asked for,"Turning supply dispute into political spectacle, Trump revives old tactic — weaponizing trade for power, headlines","On Friday, President Trump announced plans to impose a 100% tariff on all Chinese imports, dramatically escalating trade tensions and throwing a planned meeting...",https://www.salon.com/2025/10/11/trump-vs-xi-the-sequel-nobody-asked-for/,salon.com,en,2025-10-11T17:30:19.000000Z,general,,,
402,5d34f690-9021-4856-a72a-877a6e94d0c3,China’s Xi to visit Hong Kong for handover anniversary,BEIJING (AP) — Chinese leader Xi Jinping will visit Hong Kong to celebrate next week’s 25th anniversary of the former British colony’s return to China...,BEIJING (AP) — Chinese leader Xi Jinping will visit Hong Kong to celebrate next week’s 25th anniversary of the former British colony’s return to China fol...,https://www.thestar.com/news/world/asia/2022/06/25/chinas-xi-to-visit-hong-kong-for-handover-anniversary.html,thestar.com,en,2022-06-25T03:58:35.000000Z,general,,,
403,9e67a090-1bf1-4a57-8749-c8e14b63659b,Xi warns Biden against ‘playing with fire’ in Taiwan,"The two leaders held the fifth conversation of their presidencies, speaking for over two hours amid tensions over Taiwan, trade | World News","President Joe Biden and Chinese counterpart Xi Jinping held ""candid"" phone talks on Thursday, with Xi warning the US leader not to ""play with fire"" on Taiwan, a...",https://www.hindustantimes.com/world-news/on-taiwan-xi-warns-biden-against-playing-with-fire-101659029348402.html,news.google.com,en,2022-07-28T17:44:02.000000Z,general,,,
404,b62f1970-f23a-4e3e-9c18-793d1c32e1c9,"Putin and Xi to discuss Ukraine and Taiwan, Kremlin says",MOSCOW : Russia's Vladimir Putin and China's Xi Jinping will discuss Ukraine and Taiwan at a meeting in Uzbekistan on Thursday which the Kremlin said would hold,MOSCOW : Russia's Vladimir Putin and China's Xi Jinping will discuss Ukraine and Taiwan at a meeting in Uzbekistan on Thursday which the Kremlin said would hold...,https://www.todayonline.com/world/putin-and-xi-discuss-ukraine-and-taiwan-kremlin-says-1992016,news.google.com,en,2022-09-13T14:16:54.000000Z,general,,,
405,033abf97-2e7d-420f-bea2-97832e60692f,"Indonesia’s Widodo to talk investment, G-20 with China’s Xi",BEIJING (AP) — Chinese investment and trade — and possibly an invitation to the Group of 20 summit in Bali this fall — are on the table in talks Tuesd...,BEIJING (AP) — Chinese investment and trade — and possibly an invitation to the Group of 20 summit in Bali this fall — are on the table in talks Tuesday b...,https://www.thestar.com/news/world/asia/2022/07/26/indonesias-widodo-to-talk-investment-g-20-with-chinas-xi.html,thestar.com,en,2022-07-26T06:24:59.000000Z,general,,,
406,1cf2a8ad-d015-41b9-946b-e6c0f716a491,"Biden, Xi to meet next week with COVID origin, fentanyl low on agenda",The Nov. 14 Biden-Xi meeting in Bali follows a nosedive in relations between Washington and Beijing due to the coronavirus pandemic and military maneuvers near ...,WASHINGTON — The White House confirmed Thursday that President Biden will meet with Chinese President Xi Jinping in Indonesia next week — but didn’t say w...,https://nypost.com/2022/11/10/biden-xi-may-not-discuss-covid-or-fentanyl-during-meeting/,nypost.com,en,2022-11-10T17:23:43.000000Z,general,,,
407,87358083-8e58-4d3e-8e5d-39d29e8404fb,China's Xi pledges another 1 bln COVID-19 vaccine doses for Africa,China will deliver another 1 billion doses of COVID-19 vaccines to Africa and encourage Chinese companies to invest no less than $10 billion in the continent ov...,"DAKAR/BEIJING, Nov 29 (Reuters) - China will deliver another 1 billion doses of COVID-19 vaccines to Africa and encourage Chinese companies to invest no less th...",https://www.reuters.com/world/africa/chinas-xi-pledges-10-bln-credit-line-african-financial-institutions-2021-11-29/,news.google.com,en,2021-11-30T14:26:00.000000Z,general,,,
408,6dd39809-5cdc-44d4-a657-f69efe359899,"Putin says Xi has concern over Ukraine, praises China's position",SAMARKAND — Russian President Vladimir Putin on Thursday said he understood that Xi Jinping had questions and concern about the situation in Ukraine but…,"This advertisement has not loaded yet, but your article continues below.

Putin says Xi has concern over Ukraine, praises China's position

Article content SAMA...",https://nationalpost.com/pmn/news-pmn/putin-says-xi-has-concern-over-ukraine-praises-chinas-position,nationalpost.com,en,2022-09-15T12:32:48.000000Z,general,,,
409,35f17e28-df54-46fb-85a4-fbf4c75d0080,"Putin and Xi heard discussing organ transplants, immortality on hot mic - National",Discussions of Organ transplants and achieving immortality were heard from a hot mic moment between Russian President Vladimir Putin and China's President Xi Ji...,"Send this page to someone via email

When Russian President Vladimir Putin walked shoulder to shoulder with China’s President Xi Jinping on Wednesday, a hot m...",https://globalnews.ca/news/11390420/hot-mic-putin-xi-organ-transplants-immortality/,globalnews.ca,en,2025-09-03T14:27:01.000000Z,general,,,
410,8a0ec2fb-36ba-4335-bca1-5307eda69cfa,China's Xi says nobody can stop ‘family reunion’ with Taiwan as he meets with ex-leader,Chinese President Xi Jinping told former Taiwan President Ma Ying-jeou on Wednesday that outside inference could not stop the “family reunion” between the t...,"Create your free profile or log in to save this article

Create your free profile or log in to save this article

Chinese President Xi Jinping told former Taiwa...",https://www.nbcnews.com/news/world/chinas-xi-says-nobody-can-stop-family-reunion-taiwan-meets-ex-leader-rcna147140,nbcnews.com,en,2024-04-10T13:28:53.000000Z,"general,politics",,,
